System,Sys3WRobotNI
Controller,MPC
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,15
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[105, 105, 10, 10, 5]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quadratic
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
1.0611000000000004,-3.0,-3.0,1.57,1915.5362799999998,4597.287072000001,-0.22000000000000003,-0.284
1.1111000000000004,-3.0,-3.0,1.57,1915.5362799999998,4788.840700000001,-0.22000000000000003,-0.284
1.1611000000000005,-3.0,-3.0,1.57,1915.5362799999998,4980.394328,-0.22000000000000003,-0.284
1.2111000000000005,-3.0,-3.0,1.57,1915.5362799999998,5171.947956,-0.22000000000000003,-0.284
1.2611000000000006,-3.0,-3.0,1.57,1915.5362799999998,5363.501584,-0.22000000000000003,-0.284
1.3111000000000006,-3.0,-3.0,1.57,1915.5362799999998,5555.055211999999,-0.22000000000000003,-0.284
1.3611000000000006,-3.0,-3.0,1.57,1915.5362799999998,5746.608839999999,-0.22000000000000003,-0.284
1.4111000000000007,-3.0,-3.0,1.57,1915.5362799999998,5938.162467999999,-0.22000000000000003,-0.284
1.4611000000000007,-3.0,-3.0,1.57,1915.5362799999998,6129.716095999998,-0.22000000000000003,-0.284
1.5111000000000008,-3.0,-3.0,1.57,1915.5362799999998,6321.269723999998,-0.22000000000000003,-0.284
1.5611000000000008,-3.0,-3.0,1.57,1915.5362799999998,6512.823351999998,-0.22000000000000003,-0.284
1.6111000000000009,-3.0,-3.0,1.57,1915.5362799999998,6704.376979999997,-0.22000000000000003,-0.284
1.661100000000001,-3.0,-3.0,1.57,1915.5362799999998,6895.930607999997,-0.22000000000000003,-0.284
1.711100000000001,-3.0,-3.0,1.57,1915.5362799999998,7087.484235999997,-0.22000000000000003,-0.284
1.761100000000001,-3.0,-3.0,1.57,1915.5362799999998,7279.037863999996,-0.22000000000000003,-0.284
1.811100000000001,-3.0,-3.0,1.57,1915.5362799999998,7470.591491999996,-0.22000000000000003,-0.284
1.861100000000001,-3.0,-3.0,1.57,1915.5362799999998,7662.145119999996,-0.22000000000000003,-0.284
1.9111000000000011,-3.0,-3.0,1.57,1915.5362799999998,7853.698747999995,-0.22000000000000003,-0.284
1.9611000000000012,-3.0,-3.0,1.57,1915.5362799999998,8045.252375999995,-0.22000000000000003,-0.284
2.011100000000001,-3.0,-3.0,1.57,1915.5362799999998,8236.806003999995,-0.22000000000000003,-0.284
2.061100000000001,-3.0,-3.0,1.57,1915.5362799999998,8428.359631999994,-0.22000000000000003,-0.284
2.111100000000001,-3.0,-3.0,1.57,1915.5362799999998,8619.913259999994,-0.22000000000000003,-0.284
2.1611000000000007,-3.0,-3.0,1.57,1915.5362799999998,8811.466887999994,-0.22000000000000003,-0.284
2.2111000000000005,-3.0,-3.0,1.57,1915.5362799999998,9003.020515999993,-0.22000000000000003,-0.284
2.2611000000000003,-3.0,-3.0,1.57,1915.5362799999998,9194.574143999993,-0.22000000000000003,-0.284
2.3111,-3.0,-3.0,1.57,1915.5362799999998,9386.127771999993,-0.22000000000000003,-0.284
2.3611,-3.0,-3.0,1.57,1915.5362799999998,9577.681399999992,-0.22000000000000003,-0.284
2.4111,-3.0,-3.0,1.57,1915.5362799999998,9769.235027999992,-0.22000000000000003,-0.284
2.4610999999999996,-3.0,-3.0,1.57,1915.5362799999998,9960.788655999992,-0.22000000000000003,-0.284
2.5110999999999994,-3.0,-3.0,1.57,1915.5362799999998,10152.342283999991,-0.22000000000000003,-0.284
2.5610999999999993,-3.0,-3.0,1.57,1915.5362799999998,10343.89591199999,-0.22000000000000003,-0.284
